sample	date	state	lab	matrix	species	ratio	pollen_type	ratio_txt	pollen_type2
21	Sep	BY	LL	Pollen	Fagopyrum	1	single		other
22	Sep	BY	RL	Pollen	Balsaminaceae	1	single		other
7	Jul	BB	LL	Pollen	Cyanus	2	single		other
8	Jul	BB	RL	Pollen	Zea mays	2	single		other
8	Jul	BB	RL	Pollen	Serratula	2	single		other
8	Jul	BB	RL	Pollen	Parthenocissus	2	single		other
9	Jul	BY	LL	Pollen	Apiaceae	2	single		other
10	Jul	BY	RL	Pollen	Helianthus	2	Helianthus	2%	Helianthus
11	Jul	NDS	LL	Pollen	Apiaceae	2	single		other
13	Aug	BB	LL	Pollen	Apiaceae	2	single		other
15	Aug	BY	LL	Pollen	Apiaceae	2	single		other
16	Aug	BY	RL	Pollen	Chenopodium	2	single		other
17	Aug	NDS	LL	Pollen	Serratula	2	single		other
18	Aug	NDS	RL	Pollen	Taraxacum	2	single		other
19	Sep	BB	LL	Pollen	Aster	2	single		other
20	Sep	BB	RL	Pollen	Serratula	2	single		other
21	Sep	BY	LL	Pollen	Helianthus	2	Helianthus	2%	Helianthus
21	Sep	BY	LL	Pollen	Balsaminaceae	2	single		other
23	Sep	NDS	LL	Pollen	Taraxacum	2	single		other
23	Sep	NDS	LL	Pollen	Phacelia	2	single		other
2	Jun	BB	RL	Pollen	Cornus spec.	3	single		other
2	Jun	BB	RL	Pollen	Salicaceae	3	single		other
3	Jun	BY	LL	Pollen	Brassicaceae	3	single		other
3	Jun	BY	LL	Pollen	Cornus spec.	3	single		other
7	Jul	BB	LL	Pollen	Serratula	3	single		other
9	Jul	BY	LL	Pollen	Fagopyrum	3	single		other
11	Jul	NDS	LL	Pollen	Taraxacum	3	single		other
13	Aug	BB	LL	Pollen	Brassicaceae	3	single		other
15	Aug	BY	LL	Pollen	Fagopyrum	3	single		other
15	Aug	BY	LL	Pollen	Taraxacum	3	single		other
16	Aug	BY	RL	Pollen	Zea mays	3	single		other
17	Aug	NDS	LL	Pollen	Brassicaceae	3	single		other
18	Aug	NDS	RL	Pollen	Serratula	3	single		other
19	Sep	BB	LL	Pollen	Taraxacum	3	single		other
20	Sep	BB	RL	Pollen	Trifolium	3	single		other
1	Jun	BB	LL	Pollen	Cornus spec.	4	single		other
2	Jun	BB	RL	Pollen	Apiaceae	4	single		other
2	Jun	BB	RL	Pollen	Rubus	4	single		other
3	Jun	BY	LL	Pollen	Trifolium	4	single		other
5	Jun	NDS	LL	Pollen	Trifolium	4	single		other
6	Jun	NDS	RL	Pollen	Rosaceae	4	single		other
10	Jul	BY	RL	Pollen	Zea mays	4	single		other
12	Jul	NDS	RL	Pollen	Filipendula	4	single		other
13	Aug	BB	LL	Pollen	Echinops	4	single		other
14	Aug	BB	RL	Pollen	Helianthus	4	Helianthus	4%	Helianthus
16	Aug	BY	RL	Pollen	Filipendula	4	single		other
16	Aug	BY	RL	Pollen	Brassicaceae	4	single		other
17	Aug	NDS	LL	Pollen	Aster	4	single		other
20	Sep	BB	RL	Pollen	Taraxacum	4	single		other
22	Sep	BY	RL	Pollen	Fagopyrum	4	single		other
23	Sep	NDS	LL	Pollen	Serratula	4	single		other
24	Sep	NDS	RL	Pollen	Zea mays	4	single		other
24	Sep	NDS	RL	Pollen	Parthenocissus	4	single		other
4	Jun	BY	RL	Pollen	Trifolium	5	single		other
5	Jun	NDS	LL	Pollen	Rosaceae	5	single		other
6	Jun	NDS	RL	Pollen	Cornus spec.	5	single		other
8	Jul	BB	RL	Pollen	Trifolium	5	single		other
9	Jul	BY	LL	Pollen	Trifolium	5	single		other
14	Aug	BB	RL	Pollen	Polygonum persicaria	5	single		other
17	Aug	NDS	LL	Pollen	Phacelia	5	single		other
18	Aug	NDS	RL	Pollen	Echinops	5	single		other
23	Sep	NDS	LL	Pollen	Trifolium	5	single		other
24	Sep	NDS	RL	Pollen	Cyanus	5	single		other
1	Jun	BB	LL	Pollen	Rubus	6	single		other
2	Jun	BB	RL	Pollen	Trifolium	6	single		other
3	Jun	BY	LL	Pollen	Vicia	6	single		other
7	Jul	BB	LL	Pollen	Brassicaceae	6	single		other
8	Jul	BB	RL	Pollen	Rumex	6	single		other
10	Jul	BY	RL	Pollen	Chenopodium	6	single		other
10	Jul	BY	RL	Pollen	Ligustrum	6	single		other
11	Jul	NDS	LL	Pollen	Tilia	6	single		other
13	Aug	BB	LL	Pollen	Lamiaceae	6	single		other
13	Aug	BB	LL	Pollen	Aster	6	single		other
14	Aug	BB	RL	Pollen	Trifolium	6	single		other
18	Aug	NDS	RL	Pollen	Phacelia	6	single		other
18	Aug	NDS	RL	Pollen	Poaceae	6	single		other
19	Sep	BB	LL	Pollen	Helianthus	6	Helianthus	6%	Helianthus
20	Sep	BB	RL	Pollen	Apiaceae	6	single		other
21	Sep	BY	LL	Pollen	Trifolium	6	single		other
22	Sep	BY	RL	Pollen	Filipendula	6	single		other
4	Jun	BY	RL	Pollen	Rosaceae	7	single		other
5	Jun	NDS	LL	Pollen	Apiaceae	7	single		other
6	Jun	NDS	RL	Pollen	Apiaceae	7	single		other
8	Jul	BB	RL	Pollen	Apiaceae	7	single		other
9	Jul	BY	LL	Pollen	Zea mays	7	single		other
10	Jul	BY	RL	Pollen	Brassicaceae	7	single		other
14	Aug	BB	RL	Pollen	Taraxacum	7	single		other
17	Aug	NDS	LL	Pollen	Trifolium	7	single		other
17	Aug	NDS	LL	Pollen	Parthenocissus	7	single		other
1	Jun	BB	LL	Pollen	Apiaceae	8	single		other
1	Jun	BB	LL	Pollen	Trifolium	8	single		other
11	Jul	NDS	LL	Pollen	Serratula	8	single		other
19	Sep	BB	LL	Pollen	Serratula	8	single		other
23	Sep	NDS	LL	Pollen	Zea mays	8	single		other
24	Sep	NDS	RL	Pollen	Taraxacum	8	single		other
1	Jun	BB	LL	Pollen	Brassicaceae	9	single		other
4	Jun	BY	RL	Pollen	Apiaceae	9	single		other
6	Jun	NDS	RL	Pollen	Vicia	9	single		other
14	Aug	BB	RL	Pollen	Serratula	9	single		other
15	Aug	BY	LL	Pollen	Phacelia	9	single		other
16	Aug	BY	RL	Pollen	Fagopyrum	9	single		other
19	Sep	BB	LL	Pollen	Trifolium	9	single		other
1	Jun	BB	LL	Pollen	Vicia	10	single		other
13	Aug	BB	LL	Pollen	Plantaginaceae	10	single		other
20	Sep	BB	RL	Pollen	Hypericum	10	single		other
21	Sep	BY	LL	Pollen	Plantaginaceae	10	single		other
24	Sep	NDS	RL	Pollen	Poaceae	10	single		other
4	Jun	BY	RL	Pollen	Cornus spec.	11	single		other
5	Jun	NDS	LL	Pollen	Cornus spec.	11	companion		other
10	Jul	BY	RL	Pollen	Plantaginaceae	11	single		other
14	Aug	BB	RL	Pollen	Apiaceae	11	single		other
15	Aug	BY	LL	Pollen	Trifolium	11	single		other
20	Sep	BB	RL	Pollen	Aster	11	single		other
11	Jul	NDS	LL	Pollen	Filipendula	12	single		other
19	Sep	BB	LL	Pollen	Plantaginaceae	12	single		other
5	Jun	NDS	LL	Pollen	Brassicaceae	13	companion		other
6	Jun	NDS	RL	Pollen	Brassicaceae	13	companion		other
16	Aug	BY	RL	Pollen	Plantaginaceae	13	single		other
18	Aug	NDS	RL	Pollen	Helianthus	13	Helianthus	13%	Helianthus
2	Jun	BB	RL	Pollen	Brassicaceae	14	single		other
15	Aug	BY	LL	Pollen	Helianthus	14	Helianthus	14%	Helianthus
23	Sep	NDS	LL	Pollen	Plantaginaceae	14	single		other
24	Sep	NDS	RL	Pollen	Helianthus	14	Helianthus	14%	Helianthus
9	Jul	BY	LL	Pollen	Plantaginaceae	16	Plantaginaceae		Plantaginaceae
11	Jul	NDS	LL	Pollen	Phacelia	16	Phacelia		Phacelia
20	Sep	BB	RL	Pollen	Plantaginaceae	16	Plantaginaceae		Plantaginaceae
17	Aug	NDS	LL	Pollen	Helianthus	17	Helianthus	17%	Helianthus
4	Jun	BY	RL	Pollen	Brassicaceae	19	companion		other
10	Jul	BY	RL	Pollen	Filipendula	19	companion		other
18	Aug	NDS	RL	Pollen	Cyanus	19	Cyanus		Cyanus
2	Jun	BB	RL	Pollen	Vicia	20	companion		other
4	Jun	BY	RL	Pollen	Phacelia	20	Phacelia		Phacelia
17	Aug	NDS	LL	Pollen	Plantaginaceae	20	Plantaginaceae		Plantaginaceae
4	Jun	BY	RL	Pollen	Vicia	21	companion		other
9	Jul	BY	LL	Pollen	Helianthus	21	Helianthus	21%	Helianthus
12	Jul	NDS	RL	Pollen	Phacelia	21	Phacelia		Phacelia
13	Aug	BB	LL	Pollen	Serratula	21	companion		other
19	Sep	BB	LL	Pollen	Brassicaceae	21	companion		other
22	Sep	BY	RL	Pollen	Trifolium	21	Trifolium		Trifolium
5	Jun	NDS	LL	Pollen	Vicia	22	companion		other
11	Jul	NDS	LL	Pollen	Trifolium	22	Trifolium		Trifolium
12	Jul	NDS	RL	Pollen	Rubus	23	companion		other
24	Sep	NDS	RL	Pollen	Chenopodium	24	companion		other
24	Sep	NDS	RL	Pollen	Trifolium	25	Trifolium		Trifolium
11	Jul	NDS	LL	Pollen	Poaceae	28	companion		other
17	Aug	NDS	LL	Pollen	Taraxacum	30	Taraxacum		Taraxacum
22	Sep	BY	RL	Pollen	Phacelia	30	Phacelia		Phacelia
23	Sep	NDS	LL	Pollen	Poaceae	30	companion		other
23	Sep	NDS	LL	Pollen	Helianthus	31	Helianthus	31%	Helianthus
5	Jun	NDS	LL	Pollen	Phacelia	32	Phacelia		Phacelia
22	Sep	BY	RL	Pollen	Brassicaceae	32	companion		other
19	Sep	BB	LL	Pollen	Hypericum	37	companion		other
21	Sep	BY	LL	Pollen	Brassicaceae	37	companion		other
2	Jun	BB	RL	Pollen	Phacelia	38	Phacelia		Phacelia
3	Jun	BY	LL	Pollen	Phacelia	38	Phacelia		Phacelia
10	Jul	BY	RL	Pollen	Trifolium	39	Trifolium		Trifolium
21	Sep	BY	LL	Pollen	Phacelia	39	Phacelia		Phacelia
13	Aug	BB	LL	Pollen	Phacelia	40	Phacelia		Phacelia
20	Sep	BB	RL	Pollen	Brassicaceae	40	companion		other
3	Jun	BY	LL	Pollen	Apiaceae	42	Apiaceae		Apiaceae
9	Jul	BY	LL	Pollen	Phacelia	42	Phacelia		Phacelia
18	Aug	NDS	RL	Pollen	Trifolium	42	Trifolium		Trifolium
14	Aug	BB	RL	Pollen	Plantaginaceae	45	Plantaginaceae		Plantaginaceae
1	Jun	BB	LL	Pollen	Phacelia	46	Phacelia		Phacelia
12	Jul	NDS	RL	Pollen	Cyanus	47	Cyanus		Cyanus
15	Aug	BY	LL	Pollen	Plantaginaceae	48	Plantaginaceae		Plantaginaceae
16	Aug	BY	RL	Pollen	Trifolium	57	Trifolium		Trifolium
6	Jun	NDS	RL	Pollen	Phacelia	58	Phacelia		Phacelia
8	Jul	BB	RL	Pollen	Plantaginaceae	70	Plantaginaceae		Plantaginaceae
7	Jul	BB	LL	Pollen	Phacelia	84	Phacelia		Phacelia
